Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
10/03/2018,Huddersfield,Swansea,,,,,,,M Oliver,,,,,,,,,,,,
10/03/2018,Man United,Liverpool,,,,,,,C Pawson,,,,,,,,,,,,
10/03/2018,Newcastle,Southampton,,,,,,,A Marriner,,,,,,,,,,,,
10/03/2018,West Brom,Leicester,,,,,,,R Madley,,,,,,,,,,,,
10/03/2018,West Ham,Burnley,,,,,,,L Mason,,,,,,,,,,,,
11/03/2018,Arsenal,Watford,,,,,,,M Atkinson,,,,,,,,,,,,
11/03/2018,Bournemouth,Tottenham,,,,,,,M Dean,,,,,,,,,,,,
12/03/2018,Stoke,Man City,,,,,,,J Moss,,,,,,,,,,,,
17/03/2018,Bournemouth,West Brom,,,,,,,G Scott,,,,,,,,,,,,
17/03/2018,Huddersfield,Crystal Palace,,,,,,,M Dean,,,,,,,,,,,,
17/03/2018,Liverpool,Watford,,,,,,,A Taylor,,,,,,,,,,,,
17/03/2018,Stoke,Everton,,,,,,,M Atkinson,,,,,,,,,,,,
31/03/2018,Brighton,Leicester,,,,,,,C Kavanagh,,,,,,,,,,,,
31/03/2018,Crystal Palace,Liverpool,,,,,,,N Swarbrick,,,,,,,,,,,,
31/03/2018,Everton,Man City,,,,,,,P Tierney,,,,,,,,,,,,
31/03/2018,Man United,Swansea,,,,,,,R Madley,,,,,,,,,,,,
31/03/2018,Newcastle,Huddersfield,,,,,,,M Atkinson,,,,,,,,,,,,
31/03/2018,Watford,Bournemouth,,,,,,,A Marriner,,,,,,,,,,,,
31/03/2018,West Brom,Burnley,,,,,,,L Probert,,,,,,,,,,,,
31/03/2018,West Ham,Southampton,,,,,,,J Moss,,,,,,,,,,,,
01/04/2018,Arsenal,Stoke,,,,,,,C Pawson,,,,,,,,,,,,
01/04/2018,Chelsea,Tottenham,,,,,,,A Marriner,,,,,,,,,,,,
07/04/2018,Bournemouth,Crystal Palace,,,,,,,J Moss,,,,,,,,,,,,
07/04/2018,Brighton,Huddersfield,,,,,,,A Taylor,,,,,,,,,,,,
07/04/2018,Everton,Liverpool,,,,,,,M Oliver,,,,,,,,,,,,
07/04/2018,Leicester,Newcastle,,,,,,,S Attwell,,,,,,,,,,,,
07/04/2018,Man City,Man United,,,,,,,M Atkinson,,,,,,,,,,,,
07/04/2018,Stoke,Tottenham,,,,,,,G Scott,,,,,,,,,,,,
07/04/2018,Watford,Burnley,,,,,,,P Tierney,,,,,,,,,,,,
07/04/2018,West Brom,Swansea,,,,,,,R East,,,,,,,,,,,,
